timestamp,x,y,r,g,b,is_green,clicked
2025-06-06 22:03:41,1670,1000,0,0,0,False,False
2025-06-06 22:06:42,1670,1000,24,24,27,False,False
2025-06-06 22:09:42,1670,1000,24,24,27,False,False
2025-06-06 22:12:42,1670,1000,24,24,27,False,False
2025-06-06 22:15:42,1670,1000,24,24,27,False,False
2025-06-06 22:18:43,1670,1000,0,219,132,True,True
2025-06-06 22:21:43,1670,1000,24,24,27,False,False
2025-06-06 22:24:43,1670,1000,24,24,27,False,False
2025-06-06 22:27:43,1670,1000,24,24,27,False,False
2025-06-06 22:30:44,1670,1000,24,24,27,False,False
2025-06-06 22:33:44,1670,1000,92,255,190,False,False
2025-06-06 22:36:44,1670,1000,92,255,190,False,False
2025-06-06 22:39:45,1670,1000,92,255,190,False,False
2025-06-06 22:42:45,1670,1000,92,255,190,False,False
2025-06-06 22:45:45,1670,1000,92,255,190,False,False
2025-06-06 22:48:45,1670,1000,92,255,190,False,False
2025-06-06 22:51:46,1670,1000,92,255,190,False,False
2025-06-06 22:54:46,1670,1000,92,255,190,False,False
2025-06-06 22:57:46,1670,1000,92,255,190,False,False
2025-06-06 23:00:46,1670,1000,92,255,190,False,False
2025-06-06 23:03:46,1670,1000,92,255,190,False,False
2025-06-06 23:06:47,1670,1000,92,255,190,False,False
2025-06-06 23:09:47,1670,1000,92,255,190,False,False
2025-06-06 23:12:47,1670,1000,92,255,190,False,False
2025-06-06 23:15:47,1670,1000,92,255,190,False,False
2025-06-06 23:18:48,1670,1000,92,255,190,False,False
2025-06-06 23:21:48,1670,1000,92,255,190,False,False
2025-06-06 23:24:48,1670,1000,92,255,190,False,False
2025-06-06 23:27:48,1670,1000,92,255,190,False,False
2025-06-06 23:30:49,1670,1000,92,255,190,False,False
2025-06-06 23:33:49,1670,1000,92,255,190,False,False
2025-06-06 23:36:49,1670,1000,92,255,190,False,False
2025-06-06 23:39:49,1670,1000,92,255,190,False,False
2025-06-06 23:42:49,1670,1000,92,255,190,False,False
2025-06-06 23:45:50,1670,1000,92,255,190,False,False
2025-06-06 23:48:50,1670,1000,92,255,190,False,False
2025-06-06 23:51:50,1670,1000,92,255,190,False,False
2025-06-06 23:54:51,1670,1000,92,255,190,False,False
2025-06-06 23:57:51,1670,1000,92,255,190,False,False
2025-06-07 00:00:51,1670,1000,92,255,190,False,False
2025-06-07 00:03:51,1670,1000,92,255,190,False,False
2025-06-07 00:06:51,1670,1000,92,255,190,False,False
2025-06-07 00:09:52,1670,1000,92,255,190,False,False
2025-06-07 15:07:07,1670,1000,0,0,0,False,False
2025-06-07 15:10:07,1670,1000,24,24,27,False,False
2025-06-07 15:13:07,1670,1000,24,24,27,False,False
2025-06-07 15:16:07,1670,1000,24,24,27,False,False
2025-06-07 15:19:08,1670,1000,0,219,132,True,True
2025-06-07 15:22:08,1670,1000,24,24,27,False,False
2025-06-07 15:25:08,1670,1000,24,24,27,False,False
2025-06-07 15:28:08,1670,1000,24,24,27,False,False
2025-06-07 15:31:09,1670,1000,24,24,27,False,False
2025-06-07 15:34:09,1670,1000,92,255,190,True,True
2025-06-07 15:37:09,1670,1000,24,24,27,False,False
2025-06-07 15:40:09,1670,1000,24,24,27,False,False
2025-06-07 15:43:10,1670,1000,24,24,27,False,False
2025-06-08 01:19:55,1670,1000,14,14,16,False,False
2025-06-08 01:22:56,1670,1000,0,219,132,True,True
2025-06-08 01:25:56,1670,1000,24,24,27,False,False
2025-06-08 01:28:56,1670,1000,24,24,27,False,False
2025-06-08 01:31:57,1670,1000,24,24,27,False,False
2025-06-08 01:34:57,1670,1000,24,24,27,False,False
2025-06-08 01:37:57,1670,1000,92,255,190,True,True
2025-06-08 01:40:58,1670,1000,24,24,27,False,False
2025-06-08 01:43:58,1670,1000,24,24,27,False,False
2025-06-08 01:46:58,1670,1000,24,24,27,False,False
2025-06-08 01:49:58,1670,1000,24,24,27,False,False
2025-06-08 01:52:59,1670,1000,92,255,190,True,True
2025-06-08 01:55:59,1670,1000,24,24,27,False,False
2025-06-08 01:58:59,1670,1000,24,24,27,False,False
2025-06-08 02:01:59,1670,1000,24,24,27,False,False
2025-06-08 02:05:00,1670,1000,24,24,27,False,False
2025-06-08 02:08:00,1670,1000,92,255,190,True,True
2025-06-08 02:11:00,1670,1000,24,24,27,False,False
2025-06-08 02:14:01,1670,1000,24,24,27,False,False
2025-06-08 02:17:01,1670,1000,24,24,27,False,False
2025-06-08 02:20:01,1670,1000,24,24,27,False,False
2025-06-08 02:23:01,1670,1000,92,255,190,True,True
2025-06-08 02:26:02,1670,1000,24,24,27,False,False
2025-06-08 02:29:02,1670,1000,24,24,27,False,False
2025-06-08 02:32:02,1670,1000,24,24,27,False,False
2025-06-08 02:35:02,1670,1000,24,24,27,False,False
2025-06-08 02:38:03,1670,1000,92,255,190,True,True
2025-06-08 02:41:03,1670,1000,24,24,27,False,False
2025-06-08 02:44:03,1670,1000,24,24,27,False,False
2025-06-08 02:47:03,1670,1000,24,24,27,False,False
2025-06-08 02:50:04,1670,1000,24,24,27,False,False
2025-06-08 02:53:04,1670,1000,92,255,190,True,True
2025-06-08 02:56:04,1670,1000,24,24,27,False,False
2025-06-08 02:59:05,1670,1000,24,24,27,False,False
2025-06-08 03:02:05,1670,1000,24,24,27,False,False
2025-06-08 03:05:05,1670,1000,24,24,27,False,False
